Company,ActiveBrand,Headquarters,Continent,Employees,Founded,LeadExecutive,ParentStockTicker,ParentPublicExposure,PrimarySector,PrimarySubSector,ImmigrationDetentionInvolvement,SupportsPrisonLabor,HarmScore,AnnualRevenuesMn,RevenueFiscalYear,Website,Corrections,ImmigrationDetention,PrisonLabor,Financials,Other,Rank
ChannelFishProcessing,Y,MA,NorthAmerica,140,1934,n/a,n/a,Tier4-SmallPrivately-Owned,Food&Commissary,PrisonFood,n/a,n/a,n/a,55.00,2018,http://channelfish.com/,SeeNovettaSolutions,n/a,n/a,PrivCo(www.privco.com),n/a,997
CMLSecurity,Y,CO,NorthAmerica,140,1987,n/a,n/a,Tier4-SmallPrivately-Owned,Equipment,SecurityEquipment,n/a,n/a,n/a,44.00,2018,http://cmlsecurity.us/,Seewebsite,n/a,n/a,PrivCo(www.privco.com),n/a,1056
CopperRiverIT,Y,VA,NorthAmerica,140,2006,n/a,n/a,Tier4-SmallPrivately-Owned,Data&InformationSystems,IT&CommuncationsInfrastructure&Service,Y,n/a,n/a,165.00,2018,http://www.copperriverit.com/,n/a,GovSpend,n/a,PrivCo(www.privco.com),n/a,755
DesignSpace,Y,CA,NorthAmerica,140,1969,n/a,n/a,Tier4-SmallPrivately-Owned,Construction&Maintenance,Construction,n/a,n/a,n/a,95.00,2018,http://designspacemodular.com/,https://www.ncjrs.gov/pdffiles1/nij/grants/192735.pdf,n/a,n/a,PrivCo(www.privco.com),n/a,864
Firetron,Y,TX,NorthAmerica,140,1990,n/a,n/a,Tier4-SmallPrivately-Owned,Equipment,FurnishingsSupplies&OtherFacilityEquipment,n/a,n/a,n/a,22.00,2018,http://firetron.com/,TDCJSpending,n/a,n/a,PrivCo(www.privco.com),n/a,1259
IntegrationTechnologiesGroup,Y,VA,NorthAmerica,140,n/a,n/a,n/a,Tier4-SmallPrivately-Owned,Data&InformationSystems,IT&CommuncationsInfrastructure&Service,Y,n/a,n/a,28.00,2018,https://www.itgonline.com/,n/a,Sludge-ICEContract(https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo(www.privco.com),n/a,1180
NationalBusinessSystems,Y,MN,NorthAmerica,140,n/a,n/a,n/a,Tier3-LargePrivately-Ownedrequiresoutsidefinancing,Operations&Management,ProcurementContracting&OtherAdminServices,n/a,n/a,n/a,46.00,2018,https://www.nbsusa.com/,https://www.ncjrs.gov/pdffiles1/nij/grants/192735.pdf,n/a,n/a,PrivCo(www.privco.com),https://mergr.com/national-business-systems-acquired-by-output-services-group,1041
PetroleumTradersCorp,Y,IN,NorthAmerica,140,1979,n/a,n/a,Tier3-LargePrivately-Ownedrequiresoutsidefinancing,Construction&Maintenance,Utility/Energy,n/a,n/a,n/a,1900.00,2018,https://www.petroleumtraders.com/default.aspx,TDCJSpending,n/a,n/a,PrivCo(www.privco.com),https://www.forbes.com/companies/petroleum-traders-corporation/,391
RECIndustries,Y,TX,NorthAmerica,140,1980,n/a,n/a,Tier4-SmallPrivately-Owned,Construction&Maintenance,Construction,n/a,n/a,n/a,29.00,2018,http://recind.com/,http://recind.com/about-us/,n/a,n/a,PrivCo(www.privco.com),n/a,1171
SchendelPestServices,Y,KS,NorthAmerica,140,1947,n/a,SERV,Tier1b-PubliclyTraded-Other,Construction&Maintenance,MaintenanceServices,n/a,n/a,7,14.30,2011,https://www.schendelpest.com/,http://doc.ok.gov/Websites/doc/images/Documents/Administration/General%20Services/Contracts%20and%20Acquisitions/1310017158%20RFQ3894.pdf,n/a,n/a,PrivCo(www.privco.com),https://www.prnewswire.com/news-releases/terminix-acquires-assets-of-schendel-pest-services-164906866.html,1369
